Date,THREEFF0100.B,THREEFF0200.B,THREEFF0300.B,THREEFF0400.B,THREEFF0500.B,THREEFF0600.B,THREEFF0700.B,THREEFF0800.B,THREEFF0900.B,THREEFF1000.B,THREEFFTP0100.B,THREEFFTP0200.B,THREEFFTP0300.B,THREEFFTP0400.B,THREEFFTP0500.B,THREEFFTP0600.B,THREEFFTP0700.B,THREEFFTP0800.B,THREEFFTP0900.B,THREEFFTP1000.B,THREEFY0100.B,THREEFY0200.B,THREEFY0300.B,THREEFY0400.B,THREEFY0500.B,THREEFY0600.B,THREEFY0700.B,THREEFY0800.B,THREEFY0900.B,THREEFY1000.B,THREEFYTP0100.B,THREEFYTP0200.B,THREEFYTP0300.B,THREEFYTP0400.B,THREEFYTP0500.B,THREEFYTP0600.B,THREEFYTP0700.B,THREEFYTP0800.B,THREEFYTP0900.B,THREEFYTP1000.B
2 01 1990,7.840099812,7.807700157,7.772299767,7.786399841,7.849599838,7.947500229,8.06499958,8.190999985,8.317700386,8.440500259,0.887899995,1.09739995,1.205600023,1.360499978,1.575199962,1.829399943,2.100899935,2.373600006,2.637099981,2.885799885,7.785999775,7.807600021,7.800600052,7.794199944,7.79820013,7.814599991,7.841800213,7.877500057,7.919400215,7.965400219,0.547200024,0.781000018,0.904100001,0.997500002,1.09070003,1.192299962,1.302600026,1.419499993,1.540199995,1.662500024
3 01 1990,7.888000011,7.863699913,7.827199936,7.837800026,7.897600174,7.992499828,8.10779953,8.231900215,8.357199669,8.47879982,0.903999984,1.120900035,1.23179996,1.387199998,1.601799965,1.855800033,2.127300024,2.39989996,2.663599968,2.912499905,7.8197999,7.851099968,7.84829998,7.843200207,7.847400188,7.863299847,7.889800072,7.924799919,7.965899944,8.011099815,0.556100011,0.795599997,0.922299981,1.017699957,1.112200022,1.214599967,1.325500011,1.442800045,1.563899994,1.686499953
4 01 1990,7.877299786,7.857800007,7.823599815,7.835299969,7.895599842,7.990799904,8.106200218,8.230400085,8.355699539,8.477399826,0.905399978,1.123600006,1.235100031,1.390699983,1.605100036,1.858899951,2.130000114,2.402299881,2.665600061,2.914200068,7.804599762,7.83949995,7.839000225,7.835499763,7.840799809,7.857500076,7.884600163,7.920000076,7.961500168,8.006999969,0.556699991,0.796999991,0.924199998,1.019999981,1.114799976,1.217200041,1.328199983,1.445500016,1.566499949,1.68900001
5 01 1990,7.869400024,7.862299919,7.833000183,7.84649992,7.907299995,8.00249958,8.117699623,8.241600037,8.366700172,8.488100052,0.912699997,1.135599971,1.24940002,1.405699968,1.620200038,1.873600006,2.144200087,2.415999889,2.678800106,2.927000046,7.784200191,7.82889986,7.834400177,7.834599972,7.842400074,7.860799789,7.889100075,7.92539978,7.96750021,8.013500214,0.560599983,0.803900003,0.933200002,1.030500054,1.126199961,1.229200006,1.340499997,1.457999945,1.579200029,1.701699972
8 01 1990,7.874599934,7.878200054,7.853899956,7.869599819,7.931099892,8.026399612,8.141400337,8.265000343,8.3895998,8.510499954,0.920799971,1.148599982,1.264999986,1.422799945,1.638100028,1.891899943,2.162699938,2.434600115,2.697400093,2.9454,7.779300213,7.832099915,7.842700005,7.84649992,7.856599808,7.876599789,7.906000137,7.943099976,7.985799789,8.032299995,0.564899981,0.811399996,0.943099976,1.042000055,1.138800025,1.242799997,1.354799986,1.472800016,1.594400048,1.717200041
9 01 1990,7.869400024,7.880199909,7.860199928,7.878399849,7.941400051,8.037400246,8.152600288,8.27630043,8.400799751,8.52159977,0.924300015,1.154399991,1.272600055,1.431499958,1.647500038,1.90170002,2.172699928,2.444700003,2.707499981,2.95539999,7.768899918,7.826200008,7.840300083,7.84649992,7.858500004,7.880000114,7.910600185,7.948500156,7.991899967,8.03880024,0.566799998,0.814700007,0.94749999,1.047399998,1.144999981,1.249500036,1.361899972,1.48029995,1.602200031,1.725299954
10 01 1990,7.861599922,7.883699894,7.868700027,7.888999939,7.952799797,8.048999786,8.164199829,8.287699699,8.411999702,8.532600403,0.930599988,1.164999962,1.285300016,1.44509995,1.661299944,1.915300012,2.186100006,2.457700014,2.720099926,2.967700005,7.750299931,7.81619978,7.835700035,7.845499992,7.860000134,7.883100033,7.914899826,7.953700066,7.997700214,8.045200348,0.570100009,0.82069999,0.95539999,1.056599975,1.155099988,1.26030004,1.373100042,1.491700053,1.613800049,1.736899972
11 01 1990,7.862699986,7.885399818,7.871200085,7.892000198,7.956099987,8.052499771,8.16779995,8.29129982,8.415599823,8.536100388,0.931100011,1.165699959,1.286299944,1.446499944,1.662899971,1.917199969,2.1881001,2.459800005,2.722300053,2.970000029,7.751200199,7.817299843,7.837200165,7.847300053,7.861999989,7.885399818,7.917300224,7.956299782,8.000499725,8.048100471,0.570299983,0.821099997,0.95599997,1.057299972,1.156000018,1.261299968,1.374199986,1.493000031,1.615100026,1.738399982
12 01 1990,7.888999939,7.929399967,7.921199799,7.943500042,8.007100105,8.102499962,8.216500282,8.33880043,8.461999893,8.581299782,0.948300004,1.192399979,1.317600012,1.479900002,1.697299957,1.952100039,2.22329998,2.495100021,2.757600069,3.005199909,7.758600235,7.839300156,7.8677001,7.882999897,7.900800228,7.926099777,7.959300041,7.999100208,8.043700218,8.091500282,0.57980001,0.837100029,0.976400018,1.080800056,1.181499958,1.288400054,1.402500033,1.522099972,1.644899964,1.768700004
15 01 1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16 01 1990,8.00660038,8.053299904,8.036999702,8.048800468,8.10340023,8.191699982,8.300600052,8.418899536,8.538999557,8.655900002,0.978200018,1.234799981,1.363700032,1.526200056,1.743000031,1.997300029,2.26850009,2.540699959,2.803800106,3.052099943,7.855500221,7.949200153,7.980999947,7.995600224,8.01099968,8.033399582,8.063599586,8.100600243,8.14260006,8.188199997,0.596499979,0.864099979,1.009299994,1.116999984,1.219699979,1.327800035,1.442700028,1.562999964,1.686400056,1.810700059
17 01 1990,8.021300316,8.057200432,8.038599968,8.050700188,8.106300354,8.195500374,8.305000305,8.423700333,8.543999672,8.660900116,0.972100019,1.224799991,1.352599978,1.515599966,1.733700037,1.989500046,2.262099981,2.53550005,2.799700022,3.048899889,7.883900166,7.96750021,7.993999958,8.005800247,8.019599915,8.041099548,8.070799828,8.107500076,8.149299622,8.194700241,0.593500018,0.858399987,1.001899958,1.108700037,1.211099982,1.319200039,1.434299946,1.55490005,1.67869997,1.80340004
18 01 1990,8.146400452,8.187700272,8.158900261,8.158699989,8.203800201,8.285099983,8.388799667,8.503199577,8.620200157,8.734600067,1.003499985,1.269099951,1.400200009,1.562899947,1.779800057,2.034699917,2.306999922,2.580499887,2.845200062,3.094899893,7.986999989,8.08409977,8.113800049,8.124099731,8.134799957,8.152700424,8.178799629,8.212100029,8.251000404,8.293700218,0.611000001,0.886600018,1.036200047,1.146399975,1.25059998,1.359599948,1.475399971,1.596500039,1.720700026,1.845700026
19 01 1990,8.125300407,8.154000282,8.118900299,8.11590004,8.159899712,8.241100311,8.345199585,8.460300446,8.578100204,8.693300247,0.991599977,1.250699997,1.377799988,1.537999988,1.753200054,2.006900072,2.278300047,2.551199913,2.815399885,3.064899921,7.977099895,8.065099716,8.088700294,8.094900131,8.102700233,8.118599892,8.143400192,8.175700188,8.213899612,8.256099701,0.604499996,0.87559998,1.021999955,1.129799962,1.232200027,1.339699984,1.454300046,1.574399948,1.69780004,1.822100043
22 01 1990,8.14220047,8.166600227,8.122599602,8.111599922,8.149900436,8.22729969,8.329199791,8.443099976,8.560299873,8.67539978,0.995199978,1.254999995,1.379999995,1.536999941,1.74909997,2.000299931,2.269799948,2.541300058,2.804500103,3.053299904,7.988200188,8.078399658,8.100299835,8.103500366,8.108099937,8.121100426,8.143400192,8.173600197,8.210100174,8.250900269,0.606299996,0.878700018,1.025200009,1.132400036,1.233700037,1.34010005,1.453600049,1.572600007,1.695000052,1.818500042
23 01 1990,8.119099617,8.145400047,8.10229969,8.091899872,8.130700111,8.208600044,8.310799599,8.425100327,8.54279995,8.658200264,0.992600024,1.251600027,1.376000047,1.532299995,1.743700027,1.994099975,2.262900114,2.533799887,2.79640007,3.044699907,7.963200092,8.054900169,8.077699661,8.081600189,8.086700439,8.100099564,8.122699738,8.153300285,8.18999958,8.231100082,0.604700029,0.876299977,1.022400022,1.129199982,1.230100036,1.336199999,1.449300051,1.567899942,1.689900041,1.81309998
24 01 1990,8.176600456,8.231499672,8.197400093,8.188099861,8.225199699,8.300700188,8.400400162,8.512299538,8.627699852,8.741000175,1.023699999,1.299200058,1.431599975,1.591500044,1.804499984,2.055700064,2.324899912,2.596100092,2.85890007,3.107300043,7.988399982,8.104599953,8.141400337,8.153300285,8.163200378,8.179400444,8.203700066,8.235199928,8.272399902,8.313599586,0.621800005,0.905099988,1.058899999,1.171000004,1.275599957,1.384299994,1.499300003,1.619500041,1.742699981,1.866899967
25 01 1990,8.222999573,8.293000221,8.261400223,8.250499725,8.284999847,8.35779953,8.455300331,8.565299988,8.679100037,8.791099548,1.04400003,1.329599977,1.466199994,1.627599955,1.841099977,2.092400074,2.361599922,2.6329,2.895800114,3.144200087,8.015000343,8.145799637,8.189900398,8.205499649,8.217200279,8.234199524,8.258600235,8.289999962,8.326899529,8.367699623,0.6329,0.923600018,1.08220005,1.197299957,1.303900003,1.414000034,1.530099988,1.651000023,1.774799943,1.899500012
26 01 1990,8.288200378,8.377099991,8.346599579,8.331399918,8.360899925,8.429400444,8.523400307,8.630700111,8.742199898,8.852199554,1.071699977,1.371000051,1.512699962,1.675300002,1.888399959,2.139199972,2.407999992,2.678900003,2.941600084,3.189899921,8.052200317,8.202799797,8.256500244,8.27630043,8.289500237,8.306699753,8.330699921,8.361399651,8.397500038,8.4375,0.648100019,0.948899984,1.113999963,1.232900023,1.341899991,1.453500032,1.570600033,1.692199945,1.816599965,1.941599965
