	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample	DGMM: Full sample	SGMM: Full sample
																
L.intincloansseasadj	0.478***	0.598***	0.559***	0.610***	0.387***	0.457***	0.591***	0.712***	0.713***	0.823***	0.354***	0.482***	0.668***	0.795***	0.668***	0.795***
	(0.0537)	(0.0494)	(0.0555)	(0.0535)	(0.0550)	(0.0571)	(0.0720)	(0.0668)	(0.0366)	(0.0375)	(0.0559)	(0.0540)	(0.0321)	(0.0354)	(0.0321)	(0.0354)
L2.intincloansseasadj	0.0786	0.159***	0.00236	0.175***	0.175***	0.224***	-0.0346	-0.0105	-0.0987*	-0.109**	0.0595	0.0725	-0.0811*	-0.0525	-0.0811*	-0.0525
	(0.0626)	(0.0604)	(0.0702)	(0.0631)	(0.0652)	(0.0616)	(0.0795)	(0.0803)	(0.0562)	(0.0472)	(0.0564)	(0.0537)	(0.0450)	(0.0424)	(0.0450)	(0.0424)
L3.intincloansseasadj	0.142**	0.151**	-0.0334	-0.0305	0.0299	0.0692	0.114	0.0979	0.0561	0.0808	0.316***	0.276***	0.0428	0.0621	0.0428	0.0621
	(0.0627)	(0.0607)	(0.0613)	(0.0573)	(0.0575)	(0.0516)	(0.0769)	(0.0735)	(0.0455)	(0.0495)	(0.0506)	(0.0494)	(0.0408)	(0.0471)	(0.0408)	(0.0471)
L4.intincloansseasadj	-0.0723	-0.124***	0.0229	0.0105	0.00344	-0.0399	-0.0321	-0.0129	0.0277	-0.0166	-0.0672	-0.0411	0.0415	-0.0245	0.0415	-0.0245
	(0.0475)	(0.0400)	(0.0540)	(0.0424)	(0.0343)	(0.0335)	(0.0509)	(0.0482)	(0.0310)	(0.0292)	(0.0425)	(0.0415)	(0.0278)	(0.0264)	(0.0278)	(0.0264)
shortratevol	0.000411***	0.000300***	0.000443***	0.000172	0.000516***	0.000314***	0.000446***	0.000222*	0.000393***	0.000297***	0.000601***	0.000422***	0.000412***	0.000255***	0.000412***	0.000255***
	(7.16e-05)	(6.75e-05)	(0.000135)	(0.000124)	(8.98e-05)	(8.61e-05)	(0.000121)	(0.000113)	(5.40e-05)	(4.93e-05)	(0.000110)	(0.000106)	(5.45e-05)	(4.68e-05)	(5.45e-05)	(4.68e-05)
macrofinunc12	-0.000798	-0.00141**	-0.00351***	-0.00245***	0.000502	-0.000122	0.000156	-0.00136*	-0.000612*	-0.00151***	-0.00122	-0.00273***	-0.000406	-0.00124***	-0.000406	-0.00124***
	(0.000582)	(0.000547)	(0.00101)	(0.000929)	(0.000714)	(0.000688)	(0.000766)	(0.000696)	(0.000369)	(0.000362)	(0.000761)	(0.000748)	(0.000335)	(0.000326)	(0.000335)	(0.000326)
dgs3mo	-0.000856	-0.00239***	-0.00503**	-0.00450***	-0.00218	-0.00436***	-0.00456	-0.00895***	-0.00232***	-0.00257***	-0.00147	-0.00240**	-0.00174***	-0.00232***	-0.00174***	-0.00232***
	(0.00104)	(0.000838)	(0.00203)	(0.00142)	(0.00229)	(0.00153)	(0.00337)	(0.00223)	(0.000721)	(0.000592)	(0.00154)	(0.00102)	(0.000628)	(0.000486)	(0.000628)	(0.000486)
eh10	-0.00135	-0.00324***	-0.00599**	-0.00474**	-0.00262	-0.00638***	-0.00661	-0.0122***	-0.00271***	-0.00275***	-0.00254	-0.00431***	-0.00211**	-0.00281***	-0.00211**	-0.00281***
	(0.00152)	(0.00118)	(0.00285)	(0.00194)	(0.00341)	(0.00230)	(0.00490)	(0.00329)	(0.00102)	(0.000832)	(0.00238)	(0.00153)	(0.000921)	(0.000709)	(0.000921)	(0.000709)
tp10	0.000739***	0.000702***	0.000242	-2.35e-05	0.000276	0.000189	0.000639	9.24e-05	3.80e-05	0.000180	0.000780**	0.00108***	0.000290*	0.000214	0.000290*	0.000214
