	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
L.loanprovisionseasadj	-0.103**	-0.0232	-0.0702	-0.0221	0.0801*	0.176***	-0.180**	-0.0353	-0.0757**	-0.0259	-0.00697	0.0759*	-0.00520	0.0569**
	(0.0514)	(0.0432)	(0.0596)	(0.0488)	(0.0483)	(0.0480)	(0.0882)	(0.0661)	(0.0308)	(0.0261)	(0.0438)	(0.0402)	(0.0277)	(0.0263)
L2.loanprovisionseasadj	0.0157	0.0536	0.0324	0.0446	0.0608	0.0389	0.0601	0.0719	0.0727**	0.0700**	0.0392	0.0586	0.0632**	0.0677**
	(0.0495)	(0.0482)	(0.0541)	(0.0516)	(0.0506)	(0.0480)	(0.0870)	(0.0695)	(0.0338)	(0.0319)	(0.0416)	(0.0365)	(0.0289)	(0.0284)
L3.loanprovisionseasadj	-0.0684	-0.0535	-0.0471	-0.0326	-0.210***	-0.189***	-0.0659	-0.0572	-0.00742	-0.0331	-0.142***	-0.170***	-0.0830**	-0.120***
	(0.0582)	(0.0531)	(0.0589)	(0.0542)	(0.0514)	(0.0470)	(0.0809)	(0.0639)	(0.0356)	(0.0328)	(0.0422)	(0.0420)	(0.0323)	(0.0309)
L4.loanprovisionseasadj	0.628***	0.610***	0.511***	0.546***	0.521***	0.493***	0.333***	0.321***	0.685***	0.659***	0.520***	0.523***	0.663***	0.616***
	(0.0599)	(0.0518)	(0.0675)	(0.0579)	(0.0534)	(0.0470)	(0.0750)	(0.0636)	(0.0327)	(0.0302)	(0.0431)	(0.0406)	(0.0297)	(0.0280)
shortratevol	-6.95e-05	-2.28e-05	0.000161	0.000124	-2.45e-05	2.95e-05	-1.90e-05	2.26e-05	-2.61e-05	-5.65e-05	7.86e-05	0.000135	-5.81e-05	-8.62e-05*
	(7.81e-05)	(7.20e-05)	(0.000143)	(0.000132)	(0.000103)	(9.82e-05)	(0.000151)	(0.000139)	(5.23e-05)	(4.91e-05)	(0.000119)	(0.000113)	(5.23e-05)	(5.10e-05)
macrofinunc12	0.000771	0.000970*	-0.000179	-0.000115	0.00328***	0.00324***	0.000389	0.000201	0.000820*	0.000392	0.000562	0.00145*	0.00113**	0.00136***
	(0.000676)	(0.000573)	(0.00111)	(0.00102)	(0.00100)	(0.000829)	(0.00111)	(0.00101)	(0.000483)	(0.000419)	(0.000875)	(0.000742)	(0.000447)	(0.000397)
