	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
L.loanshare	0.153***	0.595***	-0.128*	0.316***	0.477***	0.853***	0.0579	0.354***	0.0590*	0.535***	0.432***	0.557***	0.123***	0.537***
	(0.0521)	(0.0440)	(0.0717)	(0.0549)	(0.0664)	(0.0459)	(0.0581)	(0.0407)	(0.0353)	(0.0278)	(0.0680)	(0.0542)	(0.0346)	(0.0279)
L2.loanshare	0.0194	-0.0494	-0.0368	-0.139***	-0.0373	-0.0964*	-0.0630*	-0.114***	-0.0666***	-0.186***	-0.151***	-0.0678	-0.108***	-0.194***
	(0.0365)	(0.0405)	(0.0333)	(0.0328)	(0.0521)	(0.0555)	(0.0334)	(0.0300)	(0.0233)	(0.0224)	(0.0445)	(0.0473)	(0.0232)	(0.0230)
L3.loanshare	-0.0514*	0.0112	0.0571**	0.151***	-0.0579	-0.0596	-0.0259	0.0558**	0.0565***	0.121***	-0.0517	0.0398	0.0822***	0.104***
	(0.0301)	(0.0369)	(0.0269)	(0.0290)	(0.0473)	(0.0550)	(0.0263)	(0.0276)	(0.0198)	(0.0218)	(0.0381)	(0.0440)	(0.0205)	(0.0232)
L4.loanshare	0.577***	0.489***	0.714***	0.668***	0.442***	0.341***	0.742***	0.726***	0.672***	0.588***	0.534***	0.441***	0.630***	0.586***
	(0.0291)	(0.0332)	(0.0284)	(0.0307)	(0.0361)	(0.0350)	(0.0248)	(0.0268)	(0.0193)	(0.0210)	(0.0351)	(0.0360)	(0.0193)	(0.0229)
shortratevol	-0.00386*	-0.00809***	-0.00867**	-0.0110***	-0.00378	-0.00470*	0.000595	-0.00596	-0.00722***	-0.0114***	-0.00661**	-0.00329	-0.00784***	-0.0102***
	(0.00232)	(0.00253)	(0.00343)	(0.00360)	(0.00261)	(0.00278)	(0.00392)	(0.00415)	(0.00200)	(0.00213)	(0.00315)	(0.00350)	(0.00228)	(0.00235)
macrofinunc12	0.0434**	-0.0201	-0.0133	-0.0751***	-0.0474**	-0.00731	0.0788***	0.0388	-0.0132	0.00265	-0.0134	-0.0399*	-0.0343**	-0.0198
	(0.0201)	(0.0188)	(0.0305)	(0.0288)	(0.0217)	(0.0197)	(0.0301)	(0.0307)	(0.0173)	(0.0150)	(0.0248)	(0.0242)	(0.0153)	(0.0145)
dgs3mo	-0.110***	-0.0894**	-0.185***	-0.209***	-0.174***	-0.285***	-0.392***	-0.671***	-0.326***	-0.246***	-0.237***	-0.221***	-0.339***	-0.342***
