	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
										
L.matgap	0.714***	0.817***	0.537***	0.556***	0.707***	0.748***	0.235***	0.403***	0.741***	0.798***
	(0.0544)	(0.0479)	(0.0710)	(0.0571)	(0.0370)	(0.0371)	(0.0660)	(0.0605)	(0.0355)	(0.0351)
L2.matgap	-0.0115	0.0613	0.0491	0.0832	0.0459	0.0988**	0.0778	0.226***	-0.00648	0.0290
	(0.0560)	(0.0556)	(0.0702)	(0.0635)	(0.0416)	(0.0418)	(0.0526)	(0.0521)	(0.0397)	(0.0402)
L3.matgap	0.0443	0.0447	0.191***	0.208***	0.0352	0.0266	0.203***	0.164***	0.0708*	0.0747*
	(0.0588)	(0.0570)	(0.0673)	(0.0674)	(0.0429)	(0.0461)	(0.0507)	(0.0479)	(0.0385)	(0.0417)
L4.matgap	0.0565	0.0451	0.106*	0.131**	0.0961***	0.101***	0.158***	0.155***	0.0746**	0.0715**
	(0.0465)	(0.0461)	(0.0609)	(0.0562)	(0.0331)	(0.0348)	(0.0525)	(0.0509)	(0.0311)	(0.0328)
shortratevol	-0.0362	-0.0596	-0.0621	-0.0919**	-0.0132	-0.0499*	0.0701	0.0373	-0.00311	-0.0133
	(0.0469)	(0.0456)	(0.0445)	(0.0418)	(0.0235)	(0.0271)	(0.0451)	(0.0451)	(0.0239)	(0.0255)
macrofinunc12	0.368	0.192	0.503	0.787**	0.461**	0.319*	-0.603	-0.682*	0.462***	0.436***
	(0.374)	(0.349)	(0.321)	(0.316)	(0.183)	(0.184)	(0.368)	(0.353)	(0.160)	(0.162)
dgs3mo	1.677**	1.346**	2.931**	3.158***	2.754***	1.445***	-3.390***	-1.816***	1.524***	1.291***
	(0.774)	(0.633)	(1.335)	(1.071)	(0.377)	(0.335)	(0.772)	(0.570)	(0.290)	(0.267)
eh10	2.013*	1.650*	4.431**	3.922**	3.999***	1.963***	-4.636***	-2.541***	2.185***	1.721***
	(1.123)	(0.936)	(2.005)	(1.607)	(0.539)	(0.476)	(1.183)	(0.837)	(0.432)	(0.404)
tp10	-0.0199	-0.350**	-0.246	-0.509***	-0.218***	-0.523***	-0.500***	-0.461***	-0.244***	-0.456***
	(0.153)	(0.138)	(0.166)	(0.151)	(0.0818)	(0.0804)	(0.171)	(0.155)	(0.0755)	(0.0688)
dgs3moSq	-0.0131**	-0.00957**	0.00210	-0.00465	-0.00268	0.00227	0.0230***	0.0150**	-0.00141	0.00319
	(0.00592)	(0.00472)	(0.00720)	(0.00559)	(0.00297)	(0.00280)	(0.00779)	(0.00718)	(0.00291)	(0.00278)
eh10Sq	0.00811	0.00173	-0.0126	-0.0157	-0.0100	-0.0305***	-0.0211	-0.0338*	-0.0159**	-0.0304***
	(0.0134)	(0.0120)	(0.0159)	(0.0141)	(0.00645)	(0.00654)	(0.0197)	(0.0186)	(0.00657)	(0.00657)
tp10Sq	-0.0904***	-0.0339	0.00408	0.0108	-0.0296*	0.0178	-0.0126	0.000385	-0.0303**	0.0102
	(0.0293)	(0.0257)	(0.0309)	(0.0255)	(0.0156)	(0.0144)	(0.0329)	(0.0311)	(0.0145)	(0.0139)
c.macrofinunc12#c.dgs3mo	-0.0162	-0.0134	-0.0962	-0.157*	-0.0649	-0.0460	0.0999	0.132	-0.0747*	-0.0747*
	(0.103)	(0.0975)	(0.0877)	(0.0857)	(0.0487)	(0.0498)	(0.104)	(0.0999)	(0.0438)	(0.0442)
c.macrofinunc12#c.eh10	-0.256	-0.0931	-0.281*	-0.458***	-0.277***	-0.184*	0.459**	0.452**	-0.270***	-0.249***
	(0.194)	(0.178)	(0.169)	(0.164)	(0.0957)	(0.0947)	(0.188)	(0.182)	(0.0830)	(0.0839)
c.macrofinunc12#c.tp10	0.0729	0.0366	0.0965	0.139	0.0968*	0.0412	-0.187*	-0.212**	0.0918**	0.0724
	(0.106)	(0.0982)	(0.0909)	(0.0877)	(0.0508)	(0.0509)	(0.105)	(0.100)	(0.0447)	(0.0443)
c.macrofinunc12#c.dgs3moSq	-0.0127**	-0.00435	-0.00552	-0.00831*	-0.00869***	-0.00434*	0.0303***	0.0243***	-0.00618**	-0.00548**
	(0.00600)	(0.00494)	(0.00576)	(0.00458)	(0.00301)	(0.00257)	(0.00691)	(0.00649)	(0.00280)	(0.00254)
c.macrofinunc12#c.eh10Sq	0.0401**	0.00701	0.0195	0.0495***	0.0295***	0.0247***	-0.0662***	-0.0492***	0.0278***	0.0280***
	(0.0177)	(0.0150)	(0.0164)	(0.0136)	(0.00811)	(0.00750)	(0.0184)	(0.0178)	(0.00730)	(0.00717)
c.macrofinunc12#c.tp10Sq	-0.0376*	-0.0539***	-0.0166	-0.0344*	-0.0462***	-0.0454***	0.0114	-0.00212	-0.0432***	-0.0463***
	(0.0207)	(0.0197)	(0.0195)	(0.0176)	(0.0108)	(0.0107)	(0.0220)	(0.0222)	(0.0103)	(0.0110)
L.othassetshare	-3.804	1.506	1.289	1.316	1.549	0.669	-10.21***	-1.486	-0.208	0.446
	(2.566)	(2.357)	(1.645)	(1.392)	(1.043)	(0.951)	(2.829)	(2.463)	(0.998)	(0.913)
L.othliabshare	-17.46***	-7.497**	16.31*	8.515	-6.216**	-3.855	-21.58***	-16.34***	-10.14***	-3.611
	(4.159)	(3.786)	(8.339)	(7.069)	(3.023)	(2.962)	(4.028)	(3.725)	(2.783)	(2.919)
L.demanddepshare	2.429**	0.606	2.225	0.796	2.869***	0.0649	-3.890***	-2.940***	2.421***	0.186
	(1.058)	(0.778)	(1.368)	(1.142)	(0.600)	(0.494)	(1.207)	(0.924)	(0.553)	(0.442)
L.savingdepshare	2.113**	0.381	1.277	0.845	0.214	-0.796	0.0852	-0.229	1.013*	0.0627
	(1.039)	(0.856)	(1.619)	(1.346)	(0.632)	(0.558)	(1.168)	(0.926)	(0.541)	(0.479)
L.loanshare	-5.461***	-1.778	-1.030	-1.674	-0.801	-2.392***	-11.72***	-6.331***	-1.842***	-1.568***
	(1.524)	(1.155)	(1.209)	(1.073)	(0.709)	(0.602)	(1.714)	(1.288)	(0.632)	(0.521)
L.lnassets	0.461*	0.151	0.899*	0.602	0.626***	0.301***	0.212	-0.204	0.321***	0.203**
	(0.273)	(0.198)	(0.528)	(0.411)	(0.132)	(0.110)	(0.220)	(0.132)	(0.102)	(0.0867)
1L.madummy	-3.950**	-4.792***	27.23*	8.335	-5.678	-6.427	-2.000	0.505	-9.539***	-14.89***
	(1.769)	(1.632)	(16.15)	(9.212)	(4.230)	(4.476)	(1.684)	(1.505)	(2.964)	(3.270)
c.dgs3mo#cL.othassetshare	0.801	-0.167	-0.316	-0.333	-0.427*	-0.162	1.704**	0.806	-0.0518	-0.124
	(0.627)	(0.596)	(0.388)	(0.352)	(0.241)	(0.242)	(0.746)	(0.671)	(0.234)	(0.231)
c.dgs3mo#cL.othliabshare	4.031***	1.624*	-4.073**	-2.330	1.232*	0.767	4.936***	3.947***	2.164***	0.667
	(0.990)	(0.891)	(1.956)	(1.645)	(0.715)	(0.698)	(0.968)	(0.897)	(0.657)	(0.686)
c.dgs3mo#cL.demanddepshare	-0.753***	-0.276	-0.580*	-0.292	-0.737***	-0.218*	0.649**	0.682***	-0.626***	-0.222*
	(0.252)	(0.208)	(0.322)	(0.290)	(0.141)	(0.131)	(0.311)	(0.260)	(0.131)	(0.120)
c.dgs3mo#cL.savingdepshare	-0.355	-0.106	-0.206	-0.267	0.00651	0.164	0.0297	0.0531	-0.197	-0.0136
	(0.248)	(0.223)	(0.381)	(0.338)	(0.148)	(0.145)	(0.301)	(0.248)	(0.126)	(0.124)
c.dgs3mo#cL.loanshare	0.750**	0.141	0.304	0.312	0.157	0.401***	2.556***	1.625***	0.308**	0.232*
	(0.334)	(0.285)	(0.287)	(0.272)	(0.160)	(0.151)	(0.424)	(0.364)	(0.144)	(0.132)
