	(1)	(2)	(3)	(4)
	DGMM: Lags(5	DGMM: Lags(1	SGMM: Lags(5	SGMM: Lags(1
VARIABLES	8)	8)	8)	8)
				
L.niirateannseasadj	0.634***	0.487***	0.669***	0.540***
	(0.0253)	(0.0128)	(0.0212)	(0.0119)
L2.niirateannseasadj	-0.198***	-0.0245**	-0.173***	-0.0367***
	(0.0320)	(0.0119)	(0.0294)	(0.0123)
L3.niirateannseasadj	0.337***	0.131***	0.302***	0.123***
	(0.0318)	(0.0109)	(0.0308)	(0.0114)
L4.niirateannseasadj	-0.190***	-0.0700***	-0.166***	-0.0720***
	(0.0204)	(0.00737)	(0.0188)	(0.00737)
shortratevol	7.44e-05**	9.71e-05***	6.15e-05**	9.22e-05***
	(3.25e-05)	(2.49e-05)	(3.02e-05)	(2.54e-05)
macrofinunc12	-0.000983***	-0.000170	-0.00194***	-0.000320*
	(0.000238)	(0.000186)	(0.000194)	(0.000178)
dgs3mo	-0.00278***	-0.000632**	-0.00233***	0.00112***
	(0.000429)	(0.000268)	(0.000353)	(0.000247)
eh10	-0.00386***	-0.000471	-0.00328***	0.00188***
	(0.000661)	(0.000395)	(0.000530)	(0.000372)
tp10	0.000157	0.000268***	0.000378***	0.000119
	(0.000111)	(7.57e-05)	(9.20e-05)	(7.51e-05)
dgs3moSq	1.79e-05***	1.41e-05***	1.70e-05***	1.32e-05***
	(3.89e-06)	(3.04e-06)	(3.33e-06)	(2.87e-06)
eh10Sq	-8.74e-05***	-5.58e-05***	-9.22e-05***	-5.51e-05***
	(9.08e-06)	(6.72e-06)	(8.04e-06)	(6.50e-06)
tp10Sq	0.000114***	8.45e-05***	6.58e-05***	5.73e-05***
	(2.03e-05)	(1.25e-05)	(1.68e-05)	(1.22e-05)
c.macrofinunc12#c.dgs3mo	0.000189***	7.28e-05	0.000452***	0.000146***
	(6.80e-05)	(5.11e-05)	(5.43e-05)	(4.94e-05)
c.macrofinunc12#c.eh10	0.000640***	0.000160*	0.00113***	0.000208**
	(0.000122)	(9.58e-05)	(0.000101)	(9.16e-05)
c.macrofinunc12#c.tp10	-0.000158**	0.000115**	-0.000436***	6.66e-05
	(6.88e-05)	(5.33e-05)	(5.45e-05)	(5.11e-05)
c.macrofinunc12#c.dgs3moSq	1.93e-05***	-6.01e-06**	1.97e-05***	-1.32e-05***
	(3.83e-06)	(2.69e-06)	(3.08e-06)	(2.58e-06)
c.macrofinunc12#c.eh10Sq	-8.41e-05***	-4.94e-05***	-9.73e-05***	-3.43e-05***
	(1.10e-05)	(7.35e-06)	(9.48e-06)	(7.34e-06)
c.macrofinunc12#c.tp10Sq	-9.56e-05***	-0.000146***	-0.000123***	-0.000196***
	(1.49e-05)	(1.03e-05)	(1.24e-05)	(1.02e-05)
L.matgap	-0.000547***	-0.000565***	-0.000211***	-0.000243***
	(6.03e-05)	(4.01e-05)	(3.33e-05)	(2.77e-05)
L.othassetshare	-0.00185	-0.00838***	-0.000132	-0.00434***
	(0.00183)	(0.00100)	(0.00144)	(0.000910)
L.othliabshare	-0.00448	-0.00103	-0.00250	-0.000491
	(0.00371)	(0.00163)	(0.00323)	(0.00154)
L.demanddepshare	-0.00207**	0.00351***	-0.00595***	0.000200
	(0.000813)	(0.000579)	(0.000617)	(0.000513)
L.savingdepshare	0.00385***	0.00605***	-0.00129*	0.00272***
	(0.000824)	(0.000606)	(0.000663)	(0.000543)
L.loanshare	0.000567	0.00293***	0.00176**	0.00816***
	(0.00105)	(0.000680)	(0.000745)	(0.000568)
L.lnassets	-0.00104***	-0.00104***	-0.000473***	-0.000613***
	(0.000168)	(0.000106)	(0.000116)	(7.85e-05)
1L.madummy	-0.000471	-0.00575**	0.00236	-0.00643**
	(0.00441)	(0.00252)	(0.00397)	(0.00254)
c.dgs3mo#cL.matgap	8.77e-05***	7.23e-05***	4.09e-05***	3.20e-05***
	(1.15e-05)	(8.25e-06)	(8.45e-06)	(6.77e-06)
