	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	DGMM: Full sample	SGMM: Full sample
															
L.niirateannseasadj	0.455***	0.562***	0.546***	0.618***	0.501***	0.584***	0.607***	0.593***	0.681***	0.692***	0.262***	0.406***	0.634***	0.634***	0.669***
	(0.0462)	(0.0414)	(0.0549)	(0.0457)	(0.0441)	(0.0431)	(0.0591)	(0.0505)	(0.0266)	(0.0232)	(0.0493)	(0.0430)	(0.0253)	(0.0253)	(0.0212)
L2.niirateannseasadj	-0.0339	-0.0316	-0.0976	-0.0821	-0.0246	0.0103	-0.151**	-0.0966	-0.293***	-0.244***	0.134***	0.183***	-0.198***	-0.198***	-0.173***
	(0.0530)	(0.0530)	(0.0620)	(0.0617)	(0.0505)	(0.0500)	(0.0629)	(0.0595)	(0.0338)	(0.0329)	(0.0435)	(0.0435)	(0.0320)	(0.0320)	(0.0294)
L3.niirateannseasadj	0.299***	0.312***	0.160**	0.0848	0.287***	0.244***	0.274***	0.234***	0.395***	0.352***	0.211***	0.207***	0.337***	0.337***	0.302***
	(0.0555)	(0.0549)	(0.0624)	(0.0624)	(0.0434)	(0.0446)	(0.0757)	(0.0676)	(0.0344)	(0.0343)	(0.0413)	(0.0409)	(0.0318)	(0.0318)	(0.0308)
L4.niirateannseasadj	-0.168***	-0.165***	-0.101**	-0.0812**	-0.205***	-0.164***	-0.186***	-0.158***	-0.192***	-0.176***	-0.213***	-0.149***	-0.190***	-0.190***	-0.166***
	(0.0381)	(0.0360)	(0.0417)	(0.0391)	(0.0300)	(0.0297)	(0.0496)	(0.0441)	(0.0228)	(0.0212)	(0.0320)	(0.0313)	(0.0204)	(0.0204)	(0.0188)
shortratevol	3.40e-05	4.01e-05	1.50e-05	-2.19e-05	0.000252***	0.000200***	-4.95e-06	-8.40e-05	5.90e-05*	3.54e-05	0.000113	0.000141*	7.44e-05**	7.44e-05**	6.15e-05**
	(5.52e-05)	(5.41e-05)	(8.02e-05)	(7.83e-05)	(6.63e-05)	(6.47e-05)	(9.05e-05)	(8.16e-05)	(3.40e-05)	(3.21e-05)	(7.46e-05)	(7.57e-05)	(3.25e-05)	(3.25e-05)	(3.02e-05)
macrofinunc12	-0.00139***	-0.00246***	-0.00144**	-0.00231***	4.83e-05	-0.00144***	-0.000723	-0.00185***	-0.00100***	-0.00185***	-0.000678	-0.00221***	-0.000983***	-0.000983***	-0.00194***
	(0.000416)	(0.000376)	(0.000617)	(0.000549)	(0.000468)	(0.000414)	(0.000608)	(0.000532)	(0.000248)	(0.000210)	(0.000537)	(0.000488)	(0.000238)	(0.000238)	(0.000194)
dgs3mo	-0.00169*	-0.00220***	-0.00319**	-0.00281***	-0.00391***	-0.00237***	-0.0113***	-0.00861***	-0.00267***	-0.00261***	-0.00399***	-0.00207***	-0.00278***	-0.00278***	-0.00233***
	(0.000901)	(0.000753)	(0.00126)	(0.000956)	(0.00108)	(0.000912)	(0.00299)	(0.00193)	(0.000516)	(0.000421)	(0.00104)	(0.000778)	(0.000429)	(0.000429)	(0.000353)
eh10	-0.00264**	-0.00331***	-0.00421**	-0.00333**	-0.00657***	-0.00461***	-0.0165***	-0.0122***	-0.00331***	-0.00333***	-0.00607***	-0.00353***	-0.00386***	-0.00386***	-0.00328***
	(0.00130)	(0.00105)	(0.00178)	(0.00133)	(0.00158)	(0.00136)	(0.00452)	(0.00286)	(0.000743)	(0.000596)	(0.00156)	(0.00115)	(0.000661)	(0.000661)	(0.000530)
tp10	0.000171	0.000547***	-0.000325	-0.000118	0.000485**	0.000695***	-0.000236	-1.18e-05	9.40e-05	0.000261***	-6.72e-05	0.000751***	0.000157	0.000157	0.000378***
	(0.000188)	(0.000171)	(0.000264)	(0.000248)	(0.000211)	(0.000187)	(0.000284)	(0.000249)	(0.000113)	(9.90e-05)	(0.000260)	(0.000226)	(0.000111)	(0.000111)	(9.20e-05)
dgs3moSq	-8.29e-06	4.43e-06	2.71e-05**	2.69e-05**	7.39e-07	2.38e-06	5.08e-05***	3.85e-05***	1.89e-05***	1.76e-05***	-3.68e-05***	7.67e-07	1.79e-05***	1.79e-05***	1.70e-05***
	(7.66e-06)	(6.60e-06)	(1.26e-05)	(1.06e-05)	(8.27e-06)	(7.76e-06)	(1.30e-05)	(1.01e-05)	(4.04e-06)	(3.40e-06)	(1.16e-05)	(1.07e-05)	(3.89e-06)	(3.89e-06)	(3.33e-06)
eh10Sq	-3.90e-05**	-7.29e-05***	-0.000112***	-0.000111***	-5.35e-05***	-6.49e-05***	-0.000174***	-0.000152***	-8.88e-05***	-9.41e-05***	-7.41e-06	-0.000103***	-8.74e-05***	-8.74e-05***	-9.22e-05***
	(1.67e-05)	(1.49e-05)	(3.03e-05)	(2.55e-05)	(2.00e-05)	(1.93e-05)	(3.05e-05)	(2.48e-05)	(9.29e-06)	(8.01e-06)	(3.07e-05)	(2.96e-05)	(9.08e-06)	(9.08e-06)	(8.04e-06)
tp10Sq	0.000101***	3.67e-05	0.000143***	0.000116**	0.000179***	7.73e-05**	0.000205***	0.000126***	0.000111***	8.06e-05***	-9.66e-05*	-0.000210***	0.000114***	0.000114***	6.58e-05***
	(3.64e-05)	(3.27e-05)	(5.33e-05)	(4.90e-05)	(4.29e-05)	(3.64e-05)	(5.76e-05)	(4.73e-05)	(2.07e-05)	(1.82e-05)	(5.02e-05)	(4.60e-05)	(2.03e-05)	(2.03e-05)	(1.68e-05)
c.macrofinunc12#c.dgs3mo	0.000335***	0.000618***	0.000383**	0.000573***	-6.65e-05	0.000352***	0.000136	0.000430***	0.000206***	0.000420***	0.000298**	0.000737***	0.000189***	0.000189***	0.000452***
	(0.000113)	(0.000104)	(0.000172)	(0.000155)	(0.000132)	(0.000119)	(0.000176)	(0.000149)	(6.96e-05)	(5.86e-05)	(0.000150)	(0.000132)	(6.80e-05)	(6.80e-05)	(5.43e-05)
c.macrofinunc12#c.eh10	0.000802***	0.00136***	0.000773**	0.00130***	7.04e-05	0.000820***	0.000404	0.00103***	0.000617***	0.00107***	0.000331	0.00107***	0.000640***	0.000640***	0.00113***
	(0.000220)	(0.000197)	(0.000323)	(0.000283)	(0.000245)	(0.000216)	(0.000311)	(0.000277)	(0.000129)	(0.000109)	(0.000281)	(0.000264)	(0.000122)	(0.000122)	(0.000101)
c.macrofinunc12#c.tp10	-0.000296**	-0.000600***	-0.000294*	-0.000543***	0.000123	-0.000303**	-0.000121	-0.000450***	-0.000170**	-0.000420***	-0.000192	-0.000581***	-0.000158**	-0.000158**	-0.000436***
	(0.000119)	(0.000105)	(0.000176)	(0.000155)	(0.000134)	(0.000118)	(0.000172)	(0.000146)	(7.06e-05)	(5.91e-05)	(0.000156)	(0.000136)	(6.88e-05)	(6.88e-05)	(5.45e-05)
c.macrofinunc12#c.dgs3moSq	1.27e-05*	1.34e-05**	4.34e-07	1.42e-05	9.43e-06	1.10e-05*	1.92e-05*	2.23e-05***	1.65e-05***	2.13e-05***	-2.85e-05**	-3.16e-05***	1.93e-05***	1.93e-05***	1.97e-05***
	(7.11e-06)	(5.93e-06)	(1.13e-05)	(8.91e-06)	(7.91e-06)	(6.67e-06)	(1.04e-05)	(8.33e-06)	(4.21e-06)	(3.28e-06)	(1.15e-05)	(1.08e-05)	(3.83e-06)	(3.83e-06)	(3.08e-06)
c.macrofinunc12#c.eh10Sq	-6.90e-05***	-9.80e-05***	-5.40e-05*	-9.54e-05***	-5.39e-05**	-7.15e-05***	-2.01e-05	-5.43e-05**	-6.99e-05***	-9.08e-05***	2.19e-05	-1.13e-05	-8.41e-05***	-8.41e-05***	-9.73e-05***
	(1.91e-05)	(1.70e-05)	(3.01e-05)	(2.50e-05)	(2.44e-05)	(2.14e-05)	(2.91e-05)	(2.50e-05)	(1.14e-05)	(9.58e-06)	(2.96e-05)	(2.93e-05)	(1.10e-05)	(1.10e-05)	(9.48e-06)
c.macrofinunc12#c.tp10Sq	-3.83e-05	-3.31e-05	-0.000121***	-0.000136***	-5.61e-05*	-8.86e-05***	-0.000152***	-0.000156***	-9.72e-05***	-0.000113***	-0.000200***	-0.000193***	-9.56e-05***	-9.56e-05***	-0.000123***
	(2.50e-05)	(2.35e-05)	(3.80e-05)	(3.33e-05)	(3.03e-05)	(2.58e-05)	(3.62e-05)	(3.28e-05)	(1.52e-05)	(1.35e-05)	(3.44e-05)	(3.16e-05)	(1.49e-05)	(1.49e-05)	(1.24e-05)
L.matgap	-0.000412***	-0.000272***	-0.000662**	-0.000790***	-0.000520***	-0.000252***	-0.000351**	-7.25e-05	-0.000513***	-0.000196***	-0.000453***	-0.000200***	-0.000547***	-0.000547***	-0.000211***
	(0.000102)	(8.86e-05)	(0.000289)	(0.000259)	(0.000107)	(6.51e-05)	(0.000166)	(0.000105)	(6.99e-05)	(3.88e-05)	(0.000108)	(7.29e-05)	(6.03e-05)	(6.03e-05)	(3.33e-05)
L.othassetshare	0.000796	-0.00407	0.000146	-0.00191	0.00526	0.00343	0.00258	-0.00143	-0.00135	0.000830	-0.00227	-0.00375	-0.00185	-0.00185	-0.000132
	(0.00390)	(0.00310)	(0.00457)	(0.00366)	(0.00456)	(0.00371)	(0.00377)	(0.00298)	(0.00186)	(0.00152)	(0.00442)	(0.00391)	(0.00183)	(0.00183)	(0.00144)
L.othliabshare	-0.00482	-0.00255	0.0259*	0.0123	0.0107*	0.00219	-0.0241*	-0.0394***	-0.00115	0.000406	-0.0152**	-0.0166***	-0.00448	-0.00448	-0.00250
	(0.00512)	(0.00456)	(0.0133)	(0.0120)	(0.00616)	(0.00545)	(0.0140)	(0.0129)	(0.00385)	(0.00346)	(0.00623)	(0.00588)	(0.00371)	(0.00371)	(0.00323)
L.demanddepshare	0.000846	-0.00120	-0.00604***	-0.00982***	0.00385**	-0.00276**	-0.00446*	-0.00573***	-0.00226**	-0.00654***	0.00271*	-1.50e-05	-0.00207**	-0.00207**	-0.00595***
	(0.00156)	(0.00135)	(0.00226)	(0.00197)	(0.00153)	(0.00120)	(0.00243)	(0.00211)	(0.000912)	(0.000703)	(0.00155)	(0.00132)	(0.000813)	(0.000813)	(0.000617)
L.savingdepshare	0.00647***	0.00351**	0.00252	-0.00249	0.00638***	0.000224	0.00364	-0.00538**	0.00302***	-0.00167**	0.00792***	0.00337***	0.00385***	0.00385***	-0.00129*
	(0.00183)	(0.00159)	(0.00250)	(0.00213)	(0.00157)	(0.00121)	(0.00273)	(0.00223)	(0.000950)	(0.000768)	(0.00151)	(0.00126)	(0.000824)	(0.000824)	(0.000663)
L.loanshare	0.00294	0.000754	0.00275	-0.00124	0.00318	0.00129	0.00241	0.00328*	0.00122	0.00223***	-0.00232	0.000415	0.000567	0.000567	0.00176**
	(0.00182)	(0.00137)	(0.00396)	(0.00308)	(0.00258)	(0.00173)	(0.00247)	(0.00199)	(0.00112)	(0.000831)	(0.00249)	(0.00183)	(0.00105)	(0.00105)	(0.000745)
L.lnassets	-0.00121***	-0.000517**	-0.00179***	-0.000343	-0.00213***	-0.000726***	-0.00458***	-0.00304***	-0.000946***	-0.000580***	-0.00287***	-0.000490***	-0.00104***	-0.00104***	-0.000473***
	(0.000379)	(0.000248)	(0.000437)	(0.000272)	(0.000409)	(0.000256)	(0.00123)	(0.000771)	(0.000207)	(0.000149)	(0.000338)	(0.000168)	(0.000168)	(0.000168)	(0.000116)
1L.madummy	0.00749	0.00517	0.00837	0.00812	0.00648**	0.00389	-0.0353	0.00597	0.00315	0.00511	-6.35e-05	0.00241	-0.000471	-0.000471	0.00236
	(0.00538)	(0.00442)	(0.00592)	(0.00660)	(0.00253)	(0.00237)	(0.0576)	(0.0544)	(0.00502)	(0.00450)	(0.00256)	(0.00226)	(0.00441)	(0.00441)	(0.00397)
c.dgs3mo#cL.matgap	0.000109***	6.68e-05***	0.000157**	0.000196***	8.30e-05***	4.44e-05***	4.70e-05	9.69e-06	8.24e-05***	3.72e-05***	5.94e-05***	2.98e-05	8.77e-05***	8.77e-05***	4.09e-05***
	(2.45e-05)	(2.20e-05)	(7.59e-05)	(6.84e-05)	(2.04e-05)	(1.60e-05)	(3.46e-05)	(2.76e-05)	(1.33e-05)	(9.81e-06)	(2.29e-05)	(1.92e-05)	(1.15e-05)	(1.15e-05)	(8.45e-06)
c.dgs3mo#cL.othassetshare	-0.000316	0.000940	-4.66e-05	0.000660	-0.00134	-0.000444	-0.000226	0.000681	0.000444	0.000144	0.00135	0.00175	0.000549	0.000549	0.000414
	(0.000938)	(0.000795)	(0.00111)	(0.000947)	(0.00112)	(0.000934)	(0.000873)	(0.000764)	(0.000440)	(0.000388)	(0.00119)	(0.00111)	(0.000431)	(0.000431)	(0.000371)
c.dgs3mo#cL.othliabshare	0.00126	0.000917	-0.00541*	-0.00208	-0.00206	-0.000181	0.00623*	0.00947***	0.000748	0.000285	0.00436***	0.00460***	0.00150*	0.00150*	0.00100
	(0.00121)	(0.00107)	(0.00315)	(0.00285)	(0.00145)	(0.00129)	(0.00331)	(0.00303)	(0.000899)	(0.000806)	(0.00150)	(0.00142)	(0.000865)	(0.000865)	(0.000756)
c.dgs3mo#cL.demanddepshare	0.000521	0.000832**	0.00303***	0.00363***	0.000313	0.00144***	0.00213***	0.00225***	0.00161***	0.00233***	0.00113**	0.000783**	0.00166***	0.00166***	0.00222***
	(0.000392)	(0.000360)	(0.000586)	(0.000535)	(0.000364)	(0.000313)	(0.000627)	(0.000560)	(0.000216)	(0.000189)	(0.000440)	(0.000373)	(0.000194)	(0.000194)	(0.000168)
c.dgs3mo#cL.savingdepshare	-0.000461	-0.000406	0.000636	0.00147***	-0.000184	0.000769**	0.000414	0.00195***	0.000152	0.000906***	-0.000124	-6.23e-05	0.000121	0.000121	0.000884***
	(0.000449)	(0.000415)	(0.000612)	(0.000562)	(0.000371)	(0.000308)	(0.000644)	(0.000571)	(0.000220)	(0.000195)	(0.000404)	(0.000345)	(0.000194)	(0.000194)	(0.000172)
c.dgs3mo#cL.loanshare	-0.000396	0.000162	-1.69e-05	0.00118	-0.000263	3.07e-05	-4.67e-05	-0.000126	0.000109	-2.83e-05	0.00144**	0.000359	0.000296	0.000296	0.000109
	(0.000427)	(0.000359)	(0.000952)	(0.000778)	(0.000566)	(0.000434)	(0.000590)	(0.000504)	(0.000249)	(0.000209)	(0.000597)	(0.000501)	(0.000232)	(0.000232)	(0.000189)
c.dgs3mo#cL.lnassets	9.93e-05	9.56e-05	0.000216**	4.52e-05	0.000273***	9.47e-05	0.000992***	0.000693***	0.000151***	0.000130***	0.000207***	7.51e-05	0.000139***	0.000139***	8.68e-05***
	(7.80e-05)	(6.60e-05)	(9.55e-05)	(7.21e-05)	(8.41e-05)	(6.43e-05)	(0.000297)	(0.000192)	(4.57e-05)	(3.78e-05)	(6.56e-05)	(4.81e-05)	(3.62e-05)	(3.62e-05)	(3.05e-05)
1L.madummy#c.dgs3mo	-0.00151	-0.000793	-0.00156	-0.00173	-0.00130**	-0.000382	-0.00720	-0.00591	-0.00104	-0.00128	0.000335	-6.21e-05	0.000179	0.000179	3.18e-06
	(0.00121)	(0.00102)	(0.00142)	(0.00149)	(0.000644)	(0.000589)	(0.0197)	(0.0153)	(0.00123)	(0.00109)	(0.000580)	(0.000513)	(0.00106)	(0.00106)	(0.000953)
c.eh10#cL.matgap	0.000187***	0.000113***	0.000348***	0.000397***	0.000138***	7.83e-05***	8.15e-05	2.84e-05	0.000144***	7.38e-05***	0.000111***	5.65e-05*	0.000149***	0.000149***	7.51e-05***
	(3.92e-05)	(3.48e-05)	(0.000126)	(0.000112)	(3.15e-05)	(2.44e-05)	(5.27e-05)	(4.20e-05)	(2.01e-05)	(1.50e-05)	(3.62e-05)	(2.95e-05)	(1.76e-05)	(1.76e-05)	(1.30e-05)
c.eh10#cL.othassetshare	-0.00117	0.00119	-0.000402	0.000527	-0.00303*	-0.00160	-0.00133	0.000300	-0.000318	-0.000617	0.000828	0.00179	-9.01e-05	-9.01e-05	-0.000175
	(0.00158)	(0.00128)	(0.00176)	(0.00145)	(0.00179)	(0.00152)	(0.00142)	(0.00120)	(0.000702)	(0.000610)	(0.00186)	(0.00172)	(0.000694)	(0.000694)	(0.000584)
c.eh10#cL.othliabshare	0.00159	0.00144	-0.00756	-0.00254	-0.00336	-0.000538	0.0100**	0.0144***	0.00108	0.000485	0.00541**	0.00675***	0.00220*	0.00220*	0.00163
	(0.00180)	(0.00160)	(0.00473)	(0.00426)	(0.00213)	(0.00192)	(0.00511)	(0.00467)	(0.00136)	(0.00122)	(0.00223)	(0.00212)	(0.00130)	(0.00130)	(0.00114)
c.eh10#cL.demanddepshare	0.000461	0.00105*	0.00363***	0.00462***	0.000367	0.00210***	0.00303***	0.00306***	0.00225***	0.00325***	0.00124*	0.000789	0.00229***	0.00229***	0.00305***
	(0.000591)	(0.000537)	(0.000873)	(0.000789)	(0.000560)	(0.000477)	(0.000930)	(0.000828)	(0.000321)	(0.000282)	(0.000647)	(0.000546)	(0.000288)	(0.000288)	(0.000248)
c.eh10#cL.savingdepshare	-0.00104	-0.000918	0.000474	0.00171**	-0.000633	0.000687	0.000201	0.00242***	6.62e-05	0.00107***	-0.000876	-0.000598	-0.000101	-0.000101	0.000983***
	(0.000664)	(0.000602)	(0.000915)	(0.000818)	(0.000539)	(0.000448)	(0.000961)	(0.000848)	(0.000325)	(0.000289)	(0.000594)	(0.000496)	(0.000287)	(0.000287)	(0.000253)
c.eh10#cL.loanshare	-0.000783	0.000122	-0.000256	0.00150	-0.000707	-6.64e-05	-0.000227	-0.000312	0.000109	-8.15e-05	0.00146	0.000498	0.000301	0.000301	5.86e-05
	(0.000638)	(0.000525)	(0.00144)	(0.00117)	(0.000873)	(0.000661)	(0.000880)	(0.000745)	(0.000379)	(0.000315)	(0.000916)	(0.000753)	(0.000356)	(0.000356)	(0.000285)
c.eh10#cL.lnassets	0.000168	0.000155*	0.000322**	4.10e-05	0.000483***	0.000235**	0.00154***	0.00105***	0.000196***	0.000173***	0.000357***	0.000166**	0.000218***	0.000218***	0.000144***
	(0.000115)	(9.40e-05)	(0.000140)	(0.000104)	(0.000122)	(9.51e-05)	(0.000459)	(0.000292)	(6.65e-05)	(5.45e-05)	(9.89e-05)	(7.13e-05)	(5.64e-05)	(5.64e-05)	(4.67e-05)
1L.madummy#c.eh10	-0.00250	-0.00154	-0.00363	-0.00296	-0.00296***	-0.00159	0.0220	0.00308	-0.000867	-0.00147	-0.000664	-0.00140	-0.000829	-0.000829	-0.00133
	(0.00238)	(0.00185)	(0.00237)	(0.00253)	(0.00106)	(0.00102)	(0.0237)	(0.0224)	(0.00205)	(0.00174)	(0.00101)	(0.000899)	(0.00187)	(0.00187)	(0.00169)
dloggdp	0.00169***	0.000959**	0.00148**	0.000125	0.00142***	-0.000409	0.00119	0.000620	0.00133***	0.000348	0.00147**	-8.96e-05	0.00142***	0.00142***	0.000241
	(0.000535)	(0.000469)	(0.000720)	(0.000672)	(0.000503)	(0.000453)	(0.000840)	(0.000729)	(0.000329)	(0.000289)	(0.000576)	(0.000504)	(0.000307)	(0.000307)	(0.000259)
unempgap	8.68e-05***	7.48e-05***	0.000114***	8.06e-05***	0.000117***	9.03e-05***	7.47e-05***	6.30e-05***	8.98e-05***	7.30e-05***	0.000130***	0.000129***	9.35e-05***	9.35e-05***	8.00e-05***
	(1.11e-05)	(9.56e-06)	(1.59e-05)	(1.24e-05)	(1.27e-05)	(1.10e-05)	(1.49e-05)	(1.27e-05)	(6.14e-06)	(5.05e-06)	(1.30e-05)	(1.17e-05)	(5.48e-06)	(5.48e-06)	(4.63e-06)
